Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BZ1","LET9032ES-03L-2.7-16-R","MagneticBuzzer_LET9032ES-03L-2.7-16-R",166.4945,-108.0750,90.0000,bottom
"C1","0,1F","CP_Elec_10x10.5",155.2005,-88.7710,0.0000,bottom
"C2","10uF","SMD-0805",126.1720,-100.2010,180.0000,bottom
"C3","10uF","SMD-0805",141.0945,-87.3105,-90.0000,bottom
"C4","10uF","SMD-0805",143.9520,-90.6760,180.0000,bottom
"C5","100nF","SMD-0805",142.6820,-93.0890,180.0000,bottom
"C6","10uF","SMD-0805",125.5370,-98.0420,180.0000,bottom
"C7","10uF","SMD-0805",145.7935,-105.8890,-90.0000,bottom
"C8","10uF","SMD-0805",149.3287,-106.6236,90.0000,bottom
"C9","680pF","SMD-0805",159.7355,-108.1234,0.0000,bottom
"C10","100pF","SMD-0805",159.3825,-110.8182,-90.0000,bottom
"C11","100pF","SMD-0805",153.2352,-110.7121,0.0000,bottom
"C12","100pF","SMD-0805",153.3499,-103.2868,180.0000,bottom
"C13","1p5F","SMD-0805",156.4840,-101.1437,-135.0000,bottom
"C14","1n8F","SMD-0805",153.9360,-100.1145,135.0000,bottom
"C15","10uF","SMD-0805",163.2560,-97.7880,0.0000,bottom
"D1","BAS85","D_MiniMELF",148.0795,-84.2270,90.0000,bottom
"D2","M4","D_SMA",151.6355,-119.2830,-90.0000,bottom
"D3","RED","LED_1206",126.2035,-94.9940,0.0000,bottom
"D4","RED","LED_1206",168.5585,-88.8980,180.0000,bottom
"D5","YELLOW","LED_1206",168.5585,-92.3270,180.0000,bottom
"D6","GREEN","LED_1206",168.5585,-95.7560,180.0000,bottom
"D7","BLUE","LED_1206",168.5585,-85.4220,180.0000,bottom
"D8","M4","D_SMA",168.9075,-99.9470,0.0000,bottom
"D9","BZX585-B5V6.115","D_SOD-523",131.9505,-80.7700,90.0000,bottom
"D10","BZX585-B5V6.115","D_SOD-523",131.6965,-83.6910,-90.0000,bottom
"FL1","DBP.1575.W.A.30","SAW DBP.1575.W.A.30",147.5921,-110.7854,180.0000,bottom
"J1","SM10B-GHS-TB","JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal",140.8405,-120.0130,180.0000,bottom
"J2","USBC_USB4105-GF-A","USBC GCT_USB4105-GF-A",124.8385,-88.0090,90.0000,bottom
"J3","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",155.9535,-76.3250,0.0000,bottom
"J4","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",158.5785,-120.0600,180.0000,bottom
"J5","SM08B-GHS-TB","JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal",140.0785,-76.3250,0.0000,bottom
"L1","NL322522T-101K","L_1210_3225Metric",137.4085,-86.6120,0.0000,bottom
"L2","5n6H","SMD-0805",157.2376,-104.0940,90.0000,bottom
"Q1","BC817-25","SOT-23",163.9545,-86.1040,-90.0000,bottom
"Q2","BC817-25","SOT-23",162.9385,-101.8520,0.0000,bottom
"Q3","BC817-25","SOT-23",162.6845,-82.5480,90.0000,bottom
"R1","22R","SMD-0805",145.7935,-83.3735,-90.0000,bottom
"R2","5k1","SMD-0805",133.0300,-92.0095,-90.0000,bottom
"R3","5k1","SMD-0805",133.4745,-85.5325,90.0000,bottom
"R4","620R","SMD-0805",131.1250,-94.9940,0.0000,bottom
"R5","10k","SMD-0805",139.0625,-82.9925,90.0000,bottom
"R6","10k","SMD-0805",141.0945,-82.6115,90.0000,bottom
"R7","33R","SMD-0805",145.7935,-100.3915,90.0000,bottom
"R8","33R","SMD-0805",147.9525,-100.3915,90.0000,bottom
"R9","33R","SMD-0805",126.1720,-104.2650,180.0000,bottom
"R10","33R","SMD-0805",126.1720,-102.2330,180.0000,bottom
"R11","33R","SMD-0805",126.1720,-108.3290,180.0000,bottom
"R12","33R","SMD-0805",126.1720,-106.2970,180.0000,bottom
"R13","10k","SMD-0805",155.3820,-81.9130,0.0000,bottom
"R14","33R","SMD-0805",145.9205,-94.0415,90.0000,bottom
"R15","33R","SMD-0805",148.2065,-94.1685,90.0000,bottom
"R16","33R","SMD-0805",126.1720,-110.3610,180.0000,bottom
"R17","1k","SMD-0805",133.9825,-81.4050,90.0000,bottom
"R18","1k","SMD-0805",143.3805,-81.9765,90.0000,bottom
"R19","200R","SMD-0805",163.8910,-88.8980,180.0000,bottom
"R20","100R","SMD-0805",164.0180,-92.3270,180.0000,bottom
"R21","100R","SMD-0805",164.0180,-95.7560,180.0000,bottom
"R22","100R","SMD-0805",162.5575,-78.8015,-90.0000,bottom
"R23","0R","SMD-0805",152.2533,-107.5804,180.0000,bottom
"R24","220R","SMD-0805",160.0175,-100.0105,-90.0000,bottom
"R25","10k","SMD-0805",150.7465,-81.4685,90.0000,bottom
"R26","12k","SMD-0805",156.6374,-110.7048,180.0000,bottom
"R27","390R","SMD-0805",153.3684,-105.4586,180.0000,bottom
"R28","20k","SMD-0805",159.5095,-81.5320,-90.0000,bottom
"U1","MIC5504-3.3YM5","SOT-23-5",144.3535,-87.4350,0.0000,bottom
"U2","USBLC6-2SC6","SOT-23-6",137.7925,-90.6150,180.0000,bottom
"U3","NEO-M8P","ublox_NEO",136.2685,-104.8365,180.0000,bottom
"U4","MAX2655","SOT-363_SC-70-6",156.5681,-107.8050,-90.0000,bottom
