Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,sim.device,sim.pins
1,Antenna,Antenna,AE1,Antenna,GPS_CGGP.35.3.A.02,1,https://cz.mouser.com/datasheet/2/398/CGGP.35.3.A.02-27913.pdf,5fa0f07c12875025b397787a,,
2,"Buzzer, polarized",Buzzer,BZ1,LET9032ES-03L-2.7-16-R,MagneticBuzzer_LET9032ES-03L-2.7-16-R,1,~,5fa0f13812875025b3977890,,
3,Unpolarized capacitor,C,C10C11C12,100pF,C_0805_2012Metric,3,~,5c70984712875079b91f8b3b,,
4,Unpolarized capacitor,C,C9,680pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b43,,
5,Unpolarized capacitor,C,C5,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,,
6,Unpolarized capacitor,C,C2C3C4C6C7C8C15,10uF,C_0805_2012Metric,7,~,5c70984812875079b91f8bbd,,
7,Polarized capacitor,CP,C1,"0,1F",CP_Elec_10x10.5,1,FCS0H104ZFTBR24 KEMET,5fa0f22e12875025b39778a3,,
8,Unpolarized capacitor,C,C14,1n8F,C_0805_2012Metric,1,~,5fa0ff6512875025b39779b1,,
9,Unpolarized capacitor,C,C13,1p5F,C_0805_2012Metric,1,~,60d587411287500165f85b5f,,
10,"100V, 0.25A, High-speed Switching Diode, SOD-523",BAS516,D1,BAS516,D_SOD-523,1,https://assets.nexperia.com/documents/data-sheet/BAS16_SER.pdf,693421c6ea235ce78ba25972,D,1=K 2=A
11,Diode,D,D2D8,BAS516,D_SOD-523,2,~,693421c6ea235ce78ba25972,,
12,Light emitting diode,LED,D7,BLUE,LED_1206_mill,1,~,5c70984512875079b91f8898,,
13,Light emitting diode,LED,D6,GREEN,LED_1206_mill,1,~,5c70984412875079b91f8895,,
14,"Schottky diode, filled shape",D_Schottky_Filled,D9D10,NSR05T40XV2T5G,D_SOD-523,2,~,5c70984712875079b91f8b7b,,
15,Light emitting diode,LED,D3D4,RED,LED_1206_mill,2,~,5c70984412875079b91f8896,,
16,Light emitting diode,LED,D5,YELLOW,LED_1206_mill,1,~,5c70984412875079b91f8897,,
17,Dielectric Band Pass Filter for 1575MHz,DBP.1575.W.A.30,FL1,DBP.1575.W.A.30,SAW DBP.1575.W.A.30,1,https://eu.mouser.com/datasheet/2/398/DBP.1575.W.A.30-1371847.pdf,5fa0f56412875025b39778fc,,
18,,SM04B-GHS-TB,J4,SM04B-GHS-TB,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,,5c86273d1287500b4e0280be,,
19,1x07 2.54 mm pitch header,SM06B-GHS-TB,J3,SM06B-GHS-TB,JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,1,,5fa0f70212875025b3977932,,
