Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,sim.device,sim.pins
1,Antenna,Antenna,AE1,Antenna,GPS_CGGP.35.3.A.02,1,https://cz.mouser.com/datasheet/2/398/CGGP.35.3.A.02-27913.pdf,5fa0f07c12875025b397787a,,
2,"Buzzer, polarized",Buzzer,BZ1,LET9032ES-03L-2.7-16-R,MagneticBuzzer_LET9032ES-03L-2.7-16-R,1,~,5fa0f13812875025b3977890,,
3,Unpolarized capacitor,C,C10,100pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b3b,,
4,Unpolarized capacitor,C,C11,100pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b3b,,
5,Unpolarized capacitor,C,C12,100pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b3b,,
6,Unpolarized capacitor,C,C9,680pF,C_0805_2012Metric,1,~,5c70984712875079b91f8b43,,
7,Unpolarized capacitor,C,C5,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,,
8,Unpolarized capacitor,C,C15,10uF,C_0805_2012Metric,1,~,5c70984812875079b91f8bbd,,
9,Unpolarized capacitor,C,C2,10uF,C_0805_2012Metric,1,~,5c70984812875079b91f8bbd,,
10,Unpolarized capacitor,C,C3,10uF,C_0805_2012Metric,1,~,5c70984812875079b91f8bbd,,
11,Unpolarized capacitor,C,C4,10uF,C_0805_2012Metric,1,~,5c70984812875079b91f8bbd,,
12,Unpolarized capacitor,C,C6,10uF,C_0805_2012Metric,1,~,5c70984812875079b91f8bbd,,
13,Unpolarized capacitor,C,C7,10uF,C_0805_2012Metric,1,~,5c70984812875079b91f8bbd,,
14,Unpolarized capacitor,C,C8,10uF,C_0805_2012Metric,1,~,5c70984812875079b91f8bbd,,
15,Polarized capacitor,CP,C1,"0,1F",CP_Elec_10x10.5,1,FCS0H104ZFTBR24 KEMET,5fa0f22e12875025b39778a3,,
16,Unpolarized capacitor,C,C14,1n8F,C_0805_2012Metric,1,~,5fa0ff6512875025b39779b1,,
17,Unpolarized capacitor,C,C13,1p5F,C_0805_2012Metric,1,~,60d587411287500165f85b5f,,
18,"100V, 0.25A, High-speed Switching Diode, SOD-523",BAS516,D1,BAS516,D_SOD-523,1,https://assets.nexperia.com/documents/data-sheet/BAS16_SER.pdf,5c70984512875079b91f88b3,D,1=K 2=A
19,Light emitting diode,LED,D7,BLUE,LED_1206,1,~,5c70984512875079b91f8898,,
20,Light emitting diode,LED,D6,GREEN,LED_1206,1,~,5c70984412875079b91f8895,,
21,Diode,D,D2,M4,D_SMA,1,~,5c70984512875079b91f88ac,,
22,Diode,D,D8,M4,D_SMA,1,~,5c70984512875079b91f88ac,,
